1	rt @ilmvfx: sad news: jim nelson  who helped build ilm dies at 81 http://t.co/yzil9xbxva #rip
2	3 tweets retwitteados y un total de 4 rts [últimas 24h] #tuitutil http://t.co/dry3o0b6a1
3	"@dannniiibby"" i only stole one picture.... that you took of me?"" someones digging themselves into a hole"
4	@betty_crocker93 lmao that was probably one of my most serious tweets and you called me silly haha 😂
5	7- you seem like the nicest person. we talked for a little while and then stopped. message me whenever. you're really cool to talk to. 😀
6	mon jun 23 08:21:59 +0000 2014
7	contributed tweets for @localireland are delivered by @roundteam https://t.co/7ieene3h7n
8	i hate it when you are super excited for something and everything goes wrong.
9	lol at first i was pissed at #uberblinditems tweets..nw im laughing cz tagal na ng issue!l8 na!move on na mga hms pinpalaki pa ung issue lol
10	@versacesux you really think my tweets be funny 😂😂
11	rt @nadyaashraf: phone calls are replaced by whatsapp. feelings are now tweets. and memories are some pictures we post on instagram. i hate…
12	arbejder lidt med wimbledon i dag  hvor vi skal prøve at få tweets og fb-kommentarer på skærmen. #wimdk
13	happy.
14	@unfuckabie these tweets give me hope
15	"@5secondsofcindy ""but guys!!111!1 he's not a homophobe look he posed next to a guy!!1!!!"" "
16	9 tweets publicados (5 menciones) [últimas 24h] #tuitutil http://t.co/t0kqmbrzcq
17	rt @lilmeeek_: @celita_colon you still wanna play✌️😩. i'm tired of y'all changing my tweets😑👋
18	@basedmarfam steal my tweets idc fam wtf ever
19	contributed tweets for @notebkblogairy are delivered by @roundteam https://t.co/t5enogxipd
20	zamieściłem(am) nowe zdjęcie na facebooku http://t.co/rrwo8aobq8
21	@ksorbs funny but i liked the sexy men in the 70's &amp; 80's better! they should have included this really hot guy with a ladder...
22	rt @gropercleveland: my tweets: shit i think is funny.
23	a knowledge mix-up for monday!!! choose what you like and try to remember at least 10 words you didn't know before :) http://t.co/0ttvkv82pk
24	rt @hiswittlehands: best tweets of the day go to katlyn http://t.co/uniex2txvz
25	rt @t_l_cruse: “@thaooobaby: in all honesty  it really scares me how much i would go through just to make someone happy.”rft
26	just ordered myself the fake bake 60 minutes and st moriz dark mousse self tanners. excited!!
27	@fathyalyan siapa yg nge delete tweets? aku gk nge delete tuh...
28	rt @danheimiller: i'm giving away 2% of my wsop main to 1 random twitter follower! with 1 personal acct. &amp; who retweets 5 1/2 of my tweets …
29	rt @danlevythfc: this is how football should be played. 22 on the pitch who wouldn't cost a dime between them. except for the 45m pound ben…
30	feels so good to sleep in my own bed for the first time all weekend 😊
31	new day  new tweets  new stats. 155 followers  86 unfollowers. via good old http://t.co/c58hopdezs
32	first game only in this year world cup crossed the tweets about all world cup tweets in 2010 @skalifowitz #smsummit2014
33	borrando tweets.
34	"another angle. ""@argent__: haa ""@hoodedhermes: btw.. the real question is.. how hot is the girl that made you mcm?"""""
35	@coldsnow1318 got a lot meh? mostly my tweets in english leh. want stalk me just ask me directly lah. lol
36	people be tryna correct ppl tweets but got fs in english lol sumden aint right....
37	rt @katyperry: i'm so excited to play 🇺🇸 i might pass out 😳 #theprismaticworldtour
38	@sr_takweny
39	rt @angiladasauce: “@jellayjay: anxhela's tweets are about me  surprise bitches. 🎉” true! the beans have been spilled
40	um olá do cota que está a cuscar os meus tweets :))
41	i laugh way too hard at my tweets omg
42	3 tweets retwitteados y un total de 3 rts [últimas 24h] #tuitutil http://t.co/x4tj1nndby
43	rt @vinit_mittal: trust no one...lmao https://t.co/fi8cjxca2p
44	this fuck got tooo excited .... http://t.co/1gird4zera
45	how gay are my old tweets jesus
46	8 tweets retwitteados y un total de 13 rts [últimas 24h] #tuitutil http://t.co/l5mvwhbutz
47	me gustan los tweets de @fandeandyroy  en el último día le he retwitteado 10 veces #tuitutil http://t.co/hmftfzt8a0
48	i hate seeing people with their whole life ahead of them and they don't realize it.
49	i like @triplettmusic's tweets because they're all pretty much my thoughts but someone not afraid to say them
50	i see tweets of people ima be in school with next year &amp; it just fucks my mood up.
51	@dilladev 1 tweet out of every single one of your tweets
52	when it's 4:23 am and there aren't anymore tweets left to read 😒
53	happy birthday! :d @rohiittttt
54	rt @kh_themehacks: auto twitter für wordpress  http://t.co/50rimovbpv  #tweets #twitter via @pluginsarchive
55	chao vale  hasta mas tardesita  dejenme soñar tweets.
56	rt @dumadishes: @lilniggajustice said this was his track list i'm kinda excited this better be real http://t.co/op9bwnzsij
57	are your #tweets in plain english?
58	*girl tweets*
59	so happy my mums back  love what she got me😍😊
60	thank you bing for attempting to translate english tweets into english
61	2 tweets retwitteados y un total de 3 rts [últimas 24h] #tuitutil http://t.co/lttsztv1yc
62	i hate filters they make people look ugly and childish now
63	new day  new tweets  new stats. 1 follower  0 unfollowers. via good old http://t.co/ywgtff4emk
64	new day  new tweets  new stats. 1 follower  0 unfollowers. via good old http://t.co/eyghepvpom
65	cameron's old tweets give me life
66	rt @whoaaa_alex: @brandonsidney aww really? well that last time you told me to look at the good things in life really stuck with me and tha…
67	everyone always tweets bring me this  like i wish people tweeted stuff like hey does anyone want me to bring them some doritos
