46	8 tweets retwitteados y un total de 13 rts [últimas 24h] #tuitutil http://t.co/l5mvwhbutz
47	me gustan los tweets de @fandeandyroy  en el último día le he retwitteado 10 veces #tuitutil http://t.co/hmftfzt8a0
48	i hate seeing people with their whole life ahead of them and they don't realize it.
49	i like @triplettmusic's tweets because they're all pretty much my thoughts but someone not afraid to say them
50	i see tweets of people ima be in school with next year &amp; it just fucks my mood up.
51	@dilladev 1 tweet out of every single one of your tweets
52	when it's 4:23 am and there aren't anymore tweets left to read 😒
53	happy birthday! :d @rohiittttt
54	rt @kh_themehacks: auto twitter für wordpress  http://t.co/50rimovbpv  #tweets #twitter via @pluginsarchive
55	chao vale  hasta mas tardesita  dejenme soñar tweets.
56	rt @dumadishes: @lilniggajustice said this was his track list i'm kinda excited this better be real http://t.co/op9bwnzsij
57	are your #tweets in plain english?
58	*girl tweets*
59	so happy my mums back  love what she got me😍😊
60	thank you bing for attempting to translate english tweets into english
