31	new day  new tweets  new stats. 155 followers  86 unfollowers. via good old http://t.co/c58hopdezs
32	first game only in this year world cup crossed the tweets about all world cup tweets in 2010 @skalifowitz #smsummit2014
33	borrando tweets.
34	"another angle. ""@argent__: haa ""@hoodedhermes: btw.. the real question is.. how hot is the girl that made you mcm?"""""
35	@coldsnow1318 got a lot meh? mostly my tweets in english leh. want stalk me just ask me directly lah. lol
36	people be tryna correct ppl tweets but got fs in english lol sumden aint right....
37	rt @katyperry: i'm so excited to play 🇺🇸 i might pass out 😳 #theprismaticworldtour
38	@sr_takweny
39	rt @angiladasauce: “@jellayjay: anxhela's tweets are about me  surprise bitches. 🎉” true! the beans have been spilled
40	um olá do cota que está a cuscar os meus tweets :))
41	i laugh way too hard at my tweets omg
42	3 tweets retwitteados y un total de 3 rts [últimas 24h] #tuitutil http://t.co/x4tj1nndby
43	rt @vinit_mittal: trust no one...lmao https://t.co/fi8cjxca2p
44	this fuck got tooo excited .... http://t.co/1gird4zera
45	how gay are my old tweets jesus
